customer_id,age,gender,location,monthly_income,monthly_emi_outflow,current_outstanding,credit_limit,credit_utilization_ratio,num_open_loan,repayment_history_score,dpd_last_3_month,num_hard_inquiry_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,total_credit_limit,months_since_last_default,target_credit_score_movement
CUST_00029,23,Female,Rural,64601,22401,345030,82519,1.2,4,28,83,3,43240,23993,358864,35,decrease
CUST_00030,57,Female,Urban,152599,35150,149256,999970,0.14926047781433444,6,1,29,1,33948,405327,302527,21,stable
CUST_00031,27,Female,Rural,115925,31359,152474,486637,0.3133218394819958,1,37,56,1,8691,82122,327735,5,stable
CUST_00032,41,Female,Urban,37069,11536,192269,570601,0.33695875051042673,6,93,72,3,63464,143692,102025,14,stable
CUST_00033,29,Female,Rural,36348,24687,492389,474264,1.0382171111448475,6,60,25,5,37501,257248,848936,33,stable
CUST_00034,59,Male,Urban,183071,38087,56196,189882,0.2959522229595222,7,91,69,0,61665,244516,810399,53,increase
CUST_00035,38,Female,Semi-Urban,32428,19339,376513,865739,0.4349035910360975,5,91,67,1,22768,130581,757559,18,stable
CUST_00036,24,Female,Urban,48389,28571,481731,497293,0.9687065774100982,4,36,74,2,26960,313445,446365,37,stable
CUST_00037,45,Female,Semi-Urban,151976,68361,321370,905515,0.3549030109937439,1,96,28,0,75141,191094,751416,36,stable
CUST_00038,34,Female,Urban,164723,109779,287565,962288,0.298834652411752,6,100,32,0,1433,430374,801447,18,stable
CUST_00039,29,Female,Semi-Urban,251398,51968,429809,320326,1.2,4,70,75,5,79170,384055,928238,30,decrease
CUST_00040,46,Male,Urban,21294,9531,471945,79937,1.2,6,90,19,2,82066,308374,198682,53,stable
CUST_00041,22,Female,Rural,127359,41612,276246,122451,1.2,2,62,70,1,37299,79677,83681,15,stable
CUST_00042,40,Male,Urban,218164,126745,31838,336599,0.09458732794809253,3,59,66,2,33242,41233,978516,34,stable
CUST_00043,48,Female,Semi-Urban,178208,51078,69091,145602,0.47451958077498935,7,72,89,2,29728,231340,467122,51,increase
CUST_00044,27,Male,Semi-Urban,233728,149010,29343,332785,0.08817404630617366,3,82,47,1,18568,444670,134066,11,stable
CUST_00045,28,Male,Urban,263837,106257,150060,302489,0.4960841551263021,3,35,17,5,60644,260553,922476,15,stable
CUST_00046,55,Female,Rural,140521,37650,12308,957299,0.01285700705840077,7,6,22,5,64276,88923,582031,48,stable
CUST_00047,34,Male,Urban,262283,57013,119268,335084,0.35593463131632663,1,34,52,2,95010,374287,685485,36,stable
CUST_00048,37,Male,Urban,294519,160432,426063,444474,0.9585780045626966,3,45,15,3,69710,110380,567966,17,stable
CUST_00049,56,Female,Semi-Urban,275366,182905,324766,165267,1.2,1,4,54,5,13240,111957,509700,8,stable
CUST_00050,24,Male,Rural,221392,151639,229525,96882,1.2,2,59,36,1,54483,470988,415510,19,stable
CUST_00051,22,Male,Rural,139424,88836,311872,749675,0.41600960416180344,1,86,84,0,22321,403931,331330,41,stable
CUST_00052,26,Male,Rural,141278,55771,78822,253797,0.3105710469390891,3,51,54,0,23888,199989,525464,9,stable
CUST_00053,24,Female,Rural,223402,145865,187515,875596,0.21415698564178,6,71,59,1,91175,286279,793290,41,stable
CUST_00054,49,Female,Urban,91233,47608,407746,813961,0.5009404627494438,3,58,76,1,50316,335075,336510,5,stable
CUST_00055,38,Female,Rural,219455,50838,476729,769922,0.6191912947025803,7,37,59,5,46063,262714,439096,12,stable
CUST_00056,46,Female,Rural,93958,26818,32526,676457,0.04808287888217581,6,92,30,5,2503,394644,754757,27,increase
CUST_00057,54,Male,Rural,76572,30057,265479,131541,1.2,3,34,35,3,33038,353939,474678,41,stable
CUST_00058,30,Female,Semi-Urban,60887,21500,297340,495975,0.5995060234890871,4,87,49,4,89875,434009,745270,59,stable
CUST_00059,56,Male,Semi-Urban,59517,21900,341100,465021,0.7335152606011341,3,98,88,3,31928,143338,95472,21,stable
CUST_00060,34,Female,Semi-Urban,31656,17964,387664,787487,0.4922798725566263,3,94,47,5,99710,209251,561250,56,stable
CUST_00061,51,Female,Rural,243748,55925,30228,242454,0.12467519611967631,1,98,25,5,70837,101868,755031,5,increase
CUST_00062,35,Male,Urban,217126,109191,411864,112854,1.2,5,19,48,4,30622,29599,403113,43,stable
CUST_00063,28,Male,Urban,95840,35299,499678,251764,1.2,4,41,1,3,89874,430505,981198,23,stable
CUST_00064,34,Female,Semi-Urban,292602,187617,205184,376140,0.5454990163237092,5,95,36,5,19926,105567,615671,47,stable
CUST_00065,43,Female,Semi-Urban,56619,12942,101104,969875,0.10424436138677665,7,75,39,3,49374,460607,826660,6,increase
CUST_00066,41,Female,Rural,130360,89405,238375,220619,1.0804826420208595,1,68,18,5,33316,382746,844555,17,stable
CUST_00067,36,Female,Semi-Urban,140232,33720,40500,166895,0.24266754546271607,7,1,86,5,41154,311920,84089,59,stable
CUST_00068,38,Female,Semi-Urban,101575,42380,304196,605573,0.5023275476284444,3,39,33,3,51973,5240,930943,0,stable
CUST_00069,44,Male,Semi-Urban,252736,158853,110357,853510,0.12929784068142142,3,39,90,4,43639,391703,695291,41,stable
CUST_00070,46,Female,Semi-Urban,239044,86282,124598,755108,0.16500685994586206,5,41,37,4,86100,392298,605774,19,stable
CUST_00071,45,Male,Urban,60975,38112,367578,484058,0.7593676790797796,3,34,38,3,48634,487259,451507,20,stable
CUST_00072,49,Female,Rural,100416,68441,77160,139935,0.5513988637581735,7,35,78,0,50513,36770,112708,6,stable
CUST_00073,35,Female,Urban,207316,54186,497613,425847,1.1685253154301898,6,73,46,3,56068,345111,922538,18,increase
CUST_00074,21,Male,Semi-Urban,95298,41799,153057,82660,1.2,3,92,8,4,84104,274953,135678,7,stable
CUST_00075,45,Female,Rural,197253,62213,39909,540230,0.07387409066508709,4,99,17,4,37703,116427,112821,31,stable
CUST_00076,27,Male,Rural,57195,33374,315960,453246,0.6971048834407805,3,15,88,3,42048,22088,606900,33,stable
CUST_00077,29,Male,Urban,52846,13422,168669,222011,0.7597326258608808,3,90,81,1,49668,131813,600076,57,increase
CUST_00078,44,Female,Urban,202042,118674,198937,358602,0.5547570844557476,5,28,18,3,14822,107532,273625,26,stable
CUST_00079,21,Male,Semi-Urban,291380,156677,366944,117966,1.2,1,97,17,4,84237,103437,873309,37,stable
CUST_00080,28,Female,Urban,246320,127020,409452,882885,0.463765949132673,7,10,65,3,3049,492606,371386,13,stable
CUST_00081,44,Female,Semi-Urban,226411,94448,419925,180007,1.2,3,94,75,4,15956,29767,926048,57,decrease
CUST_00082,31,Female,Semi-Urban,178251,80353,418198,251762,1.2,4,57,44,0,26341,481569,249923,18,stable
CUST_00083,37,Female,Semi-Urban,164408,41135,32788,746238,0.04393772496174143,1,37,28,3,71594,222282,952383,31,stable
CUST_00084,28,Female,Rural,281320,94226,254762,465023,0.5478481709506842,6,23,62,1,84882,74138,531062,57,stable
CUST_00085,55,Female,Rural,231246,151858,54194,529001,0.1024459311041,4,54,61,3,57938,216122,230746,27,stable
CUST_00086,55,Female,Urban,241796,101792,478918,77420,1.2,5,87,67,2,72395,331222,850380,18,stable
CUST_00087,53,Male,Urban,248426,99725,29974,762122,0.0393296611303702,1,33,41,0,66821,209275,617403,55,stable
CUST_00088,25,Female,Rural,197969,44279,211404,805214,0.2625438703251558,2,83,74,2,64857,417537,956561,26,increase
CUST_00089,59,Male,Urban,199264,127958,238160,690848,0.34473574505535226,4,54,76,3,83046,409604,699122,16,stable
CUST_00090,48,Female,Semi-Urban,48283,27845,241694,120791,1.2,2,64,34,3,28583,79983,674101,58,stable
CUST_00091,27,Female,Semi-Urban,147537,36268,129269,610168,0.21185804565300048,4,78,7,2,66863,211615,721423,9,increase
CUST_00092,29,Male,Rural,61717,16977,339913,739536,0.4596300923822505,1,5,78,3,12577,11521,618602,59,stable
CUST_00093,28,Male,Urban,220911,57841,312896,720111,0.4345107906975452,4,85,24,1,2860,403084,354235,24,increase
CUST_00094,32,Male,Urban,114242,60159,421126,285010,1.2,5,35,63,2,7496,484548,538645,20,stable
CUST_00095,54,Male,Rural,61073,17067,485594,901616,0.5385818352824262,6,30,61,1,24522,143288,416802,58,stable
CUST_00096,53,Female,Semi-Urban,238143,166116,73539,811167,0.09065827382031073,4,76,26,4,49594,50941,689376,35,stable
CUST_00097,43,Female,Semi-Urban,84252,41016,140841,963947,0.14610865535138343,3,26,53,3,89921,295035,518191,34,stable
CUST_00098,44,Male,Urban,156088,99126,34874,58632,0.5947946513849093,4,2,55,2,82776,462504,795040,37,stable
CUST_00099,57,Female,Rural,154137,87091,30276,412730,0.07335546240883871,1,1,39,0,5959,9156,984268,51,stable
CUST_00100,55,Male,Rural,274785,58320,434560,168585,1.2,6,64,15,0,20109,403438,154754,20,stable
CUST_00101,42,Male,Semi-Urban,289250,118756,445434,984935,0.45224710260067924,1,34,28,4,94022,249530,103729,7,stable
CUST_00102,47,Male,Semi-Urban,83326,31731,113607,626890,0.18122318110035254,5,83,54,2,2585,478945,570847,34,stable
CUST_00103,55,Male,Urban,198528,134223,469341,307123,1.2,5,60,14,4,44418,18906,337743,17,stable
CUST_00104,21,Male,Rural,168384,62163,439690,446641,0.9844371654192069,7,11,4,2,13963,485777,649717,58,stable
CUST_00105,55,Female,Urban,189262,102904,371548,156979,1.2,3,27,60,5,96640,254107,328496,17,stable
CUST_00106,57,Male,Urban,63042,31189,352851,381057,0.9259795778584307,3,59,63,5,28078,332759,151620,48,decrease
CUST_00107,34,Male,Rural,45919,26096,123007,131305,0.9368036251475572,3,63,18,1,10677,379989,988006,37,stable
CUST_00108,23,Female,Rural,238379,54978,356852,728064,0.49013822960618847,7,50,12,2,93709,179716,885319,11,stable
CUST_00109,21,Male,Semi-Urban,165271,109970,402864,270108,1.2,1,86,53,0,63997,468211,795016,50,stable
CUST_00110,25,Male,Rural,63051,43915,57885,308759,0.1874763164798435,4,15,59,2,76546,356678,130039,54,stable
CUST_00111,46,Female,Urban,160461,76569,283612,908847,0.3120569248729434,7,65,52,2,39577,231229,964600,11,stable
CUST_00112,34,Female,Urban,249573,70420,304800,735835,0.41422329734247487,2,65,85,1,48866,137135,325959,21,stable
CUST_00113,59,Female,Rural,291192,184825,200574,345849,0.5799467397621505,7,46,80,4,72883,328848,443445,58,stable
CUST_00114,47,Female,Urban,139085,72833,60982,595152,0.10246458047692018,3,37,64,5,70986,227725,821557,19,stable
CUST_00115,29,Female,Rural,79322,40610,96063,832250,0.11542565334935416,5,70,35,5,67712,145890,207199,39,stable
CUST_00116,35,Male,Semi-Urban,51546,33116,246677,704382,0.35020344074664034,5,71,38,1,60701,152307,761099,9,stable
CUST_00117,35,Male,Semi-Urban,84417,47757,26789,553996,0.048355944808265765,3,40,54,4,80362,174239,526017,23,stable
CUST_00118,46,Male,Rural,73652,48601,360294,364010,0.989791489244801,7,84,85,2,83901,49266,376165,33,stable
CUST_00119,33,Female,Urban,215271,146124,121396,474273,0.2559622833262699,6,69,70,5,52722,314643,530629,19,stable
CUST_00120,52,Female,Rural,111105,41380,372083,122649,1.2,1,76,4,5,21078,451137,839287,2,stable
CUST_00121,59,Female,Rural,36179,10815,125432,749199,0.16742147279961667,7,61,19,4,76778,298631,459839,39,stable
CUST_00122,52,Female,Semi-Urban,248655,97653,178184,599075,0.29743187413929806,5,78,79,2,93129,312818,218976,33,stable
CUST_00123,24,Female,Rural,59058,40381,153914,495873,0.31038995871926883,7,86,1,2,61791,444480,963528,5,stable
CUST_00124,50,Female,Semi-Urban,169203,50033,386876,80897,1.2,2,48,83,3,7584,349007,331792,21,decrease
CUST_00125,57,Male,Semi-Urban,78911,39104,29938,155547,0.1924691572322192,4,69,44,3,45951,223139,843177,21,stable
CUST_00126,43,Female,Rural,282489,68397,259465,520992,0.49802108285731833,6,45,43,0,70629,280901,55694,35,stable
CUST_00127,59,Male,Rural,167611,103289,217071,137508,1.2,5,20,2,2,65597,498016,120170,3,stable
CUST_00128,35,Male,Rural,81154,43344,254672,337401,0.7548051132035768,2,46,69,3,59483,411788,250483,54,stable
CUST_00129,49,Male,Rural,181568,83712,477587,81402,1.2,7,56,26,1,63178,89608,742043,3,stable
CUST_00130,56,Female,Semi-Urban,266998,137502,36094,838596,0.0430409875553902,4,98,19,2,41154,298408,522433,26,stable
CUST_00131,33,Female,Rural,65009,16806,115923,331820,0.3493550720270026,1,34,8,0,31973,380279,695672,38,stable
CUST_00132,52,Female,Semi-Urban,109396,68998,425712,473020,0.8999873155469114,2,57,3,1,88861,285845,767700,32,stable
CUST_00133,27,Female,Semi-Urban,138891,51399,293114,637440,0.4598299447791165,6,27,27,2,68784,188908,926393,30,stable
CUST_00134,42,Female,Urban,134473,38265,450888,768210,0.5869332604365993,7,78,54,0,48056,116998,155147,40,increase
CUST_00135,48,Male,Semi-Urban,286019,59319,184753,999694,0.18480955172282718,3,77,33,5,57369,310655,498365,50,increase
CUST_00136,22,Male,Urban,215096,49547,466989,359515,1.2,6,79,11,1,38131,343960,690702,47,increase
CUST_00137,26,Female,Rural,208339,111632,430006,708952,0.6065375370970107,4,28,27,3,22447,274671,852422,12,stable
CUST_00138,48,Male,Urban,158151,88443,265182,396800,0.6683014112903226,1,43,69,5,14712,278852,346798,43,stable
CUST_00139,48,Male,Rural,295058,80974,386671,97481,1.2,7,43,29,1,54865,225002,894986,29,stable
CUST_00140,40,Female,Semi-Urban,249205,125314,99689,433604,0.22990793442864918,5,74,74,4,24162,343560,196178,30,stable
CUST_00141,50,Male,Urban,297181,131207,460982,565508,0.8151644185404981,1,38,27,2,20473,424691,392774,58,stable
CUST_00142,31,Male,Rural,38146,25504,304215,942973,0.32261263047828515,2,58,83,2,95335,134585,463755,15,stable
CUST_00143,48,Female,Rural,50428,26858,402153,978318,0.411065727094871,3,24,54,0,34543,137316,206106,10,stable
CUST_00144,45,Male,Urban,61677,28381,227693,258651,0.8803097610293407,3,5,13,5,44584,66041,318995,47,stable
CUST_00145,59,Female,Urban,64868,22177,407948,186675,1.2,5,47,22,0,15185,5475,691353,38,stable
CUST_00146,53,Female,Rural,142693,61486,304498,425231,0.7160766736197502,6,15,25,3,78511,115018,110331,4,stable
CUST_00147,21,Female,Rural,135328,43785,85531,917157,0.09325666161845791,2,53,38,3,54333,140991,969225,32,stable
CUST_00148,47,Male,Semi-Urban,152894,82439,159916,392120,0.4078241354687341,4,30,73,1,54143,141683,142933,21,stable
CUST_00149,33,Male,Rural,222412,110548,227997,248166,0.9187277870457677,7,97,36,1,15850,232784,711924,21,stable
CUST_00150,23,Male,Urban,268987,93644,13840,525472,0.026338225443030265,2,18,73,4,25781,377846,665017,9,stable
CUST_00151,59,Female,Rural,35461,7306,416490,719583,0.5787935512651077,5,91,19,2,12045,355264,152404,55,increase
CUST_00152,26,Male,Rural,99987,69130,180406,84642,1.2,5,60,8,1,16767,43637,158221,12,stable
CUST_00153,28,Male,Urban,42183,9554,214549,893597,0.24009592691112436,6,79,47,4,87064,242059,867652,0,increase
CUST_00154,47,Female,Semi-Urban,269859,127779,41712,220721,0.188980658840799,3,43,70,1,99469,481077,355384,3,stable
CUST_00155,29,Female,Rural,190181,119054,246654,521259,0.47318895213320056,6,20,70,1,7809,186326,862713,43,stable
CUST_00156,57,Female,Urban,95129,48566,386431,258024,1.2,4,33,43,3,7421,439211,118044,24,stable
CUST_00157,53,Male,Urban,196710,97069,45243,214584,0.21084051001006598,2,85,78,3,35467,147977,147433,41,stable
CUST_00158,44,Female,Urban,295035,164496,254648,69625,1.2,1,55,34,0,89354,405155,990970,24,stable
CUST_00159,35,Male,Urban,280783,99414,96366,804803,0.11973861926459022,3,43,64,5,28133,366107,592382,22,stable
CUST_00160,52,Female,Semi-Urban,297047,117280,89984,208020,0.4325737909816364,7,21,37,2,48586,146082,236158,26,stable
CUST_00161,52,Female,Urban,118882,28800,270836,538254,0.5031750809097564,1,67,89,3,36270,369620,860368,46,stable
CUST_00162,44,Female,Rural,221612,44842,268463,77009,1.2,1,78,29,2,59288,85807,338487,9,increase
CUST_00163,32,Female,Semi-Urban,296426,98495,430960,132293,1.2,6,41,21,0,98080,242373,226819,21,stable
CUST_00164,59,Male,Urban,42166,25599,325347,128131,1.2,1,29,34,5,40501,416621,351715,8,stable
CUST_00165,22,Male,Rural,163168,82530,413460,843241,0.49032245822961645,2,84,85,4,99124,88845,97601,50,stable
CUST_00166,23,Male,Semi-Urban,284174,76644,172862,775469,0.22291284371135403,1,14,71,0,51836,228646,722035,9,stable
CUST_00167,57,Female,Rural,156931,64849,128527,149871,0.8575841890692663,7,2,35,0,27723,318436,90369,6,stable
CUST_00168,37,Male,Semi-Urban,114372,23991,358560,896255,0.40006471372544644,1,24,35,5,24443,193476,527908,54,stable
CUST_00169,22,Female,Urban,98751,59362,35888,469718,0.07640328878177971,1,21,3,4,57631,306231,853415,28,stable
CUST_00170,22,Female,Rural,202452,87161,297401,786623,0.3780731049053994,5,27,85,2,59831,9611,495565,57,stable
CUST_00171,48,Male,Urban,269024,91049,161446,748849,0.2155921954893443,1,4,58,0,36753,245875,935603,14,stable
CUST_00172,43,Female,Semi-Urban,98126,57312,407893,516300,0.7900309897346504,3,33,50,4,67657,276392,268337,59,stable
CUST_00173,57,Female,Urban,123247,84445,273473,193507,1.2,1,46,6,0,82257,319480,182186,8,stable
CUST_00174,52,Male,Urban,198421,79687,237484,464338,0.511446403266586,4,75,72,3,42574,250378,302898,21,stable
CUST_00175,53,Male,Rural,284270,165649,497743,451254,1.1030218014687958,7,56,3,0,28335,193166,944834,21,stable
CUST_00176,21,Female,Urban,257568,92888,310773,637210,0.4877089185668775,2,1,28,5,45445,335840,292346,13,stable
CUST_00177,39,Male,Urban,156155,90416,181011,287816,0.6289122216971954,7,83,50,0,23773,50108,592562,10,stable
CUST_00178,22,Female,Urban,141618,96661,109192,975508,0.11193347466140718,1,27,86,2,21170,194221,464514,8,stable
CUST_00179,46,Male,Semi-Urban,36248,19036,489205,954788,0.5123702853408296,6,55,1,0,5461,55470,770926,41,stable
CUST_00180,52,Female,Rural,26609,8500,252054,359201,0.7017074005918692,5,88,44,0,59305,240095,478110,18,stable
CUST_00181,26,Female,Rural,191518,104389,340318,688595,0.4942208409878085,3,52,53,2,12306,373687,315839,45,stable
CUST_00182,52,Female,Urban,194574,121084,255501,699354,0.36533858389313567,3,57,88,4,21586,226372,608944,52,stable
CUST_00183,24,Male,Rural,128364,51583,223693,625508,0.35761812798557335,5,59,39,1,28597,120371,497167,1,stable
CUST_00184,31,Male,Semi-Urban,178271,91097,361034,346106,1.0431312950367806,5,71,17,2,47461,267709,225543,59,stable
CUST_00185,37,Female,Semi-Urban,47921,15635,48036,958809,0.050099654884340886,6,40,80,0,14842,220389,639690,41,stable
CUST_00186,58,Male,Urban,263134,112432,392711,828090,0.47423709983214385,7,6,55,2,61846,1455,534038,14,stable
CUST_00187,44,Male,Urban,33617,9510,409631,325538,1.2,6,59,47,2,65266,332181,712658,9,stable
CUST_00188,25,Male,Semi-Urban,176250,108881,476245,406341,1.172032849257151,7,58,44,3,73775,180651,842405,13,stable
CUST_00189,54,Female,Semi-Urban,99805,24787,111260,625782,0.17779354471685027,1,49,19,1,71183,11573,526890,53,stable
CUST_00190,26,Male,Semi-Urban,89197,20329,426391,292328,1.2,2,73,52,0,79203,484557,65427,23,increase
CUST_00191,42,Male,Urban,149414,69806,31984,780224,0.04099335575424493,1,88,57,1,73049,256573,505543,38,stable
CUST_00192,31,Male,Semi-Urban,162647,79898,184908,169388,1.0916239639171605,5,31,56,4,50127,325329,376782,45,stable
CUST_00193,36,Female,Urban,148169,97663,211602,104335,1.2,2,79,71,1,48550,53458,375612,48,stable
CUST_00194,53,Female,Semi-Urban,279901,84429,170685,236749,0.7209534147979506,1,1,5,1,11501,109345,202016,3,stable
CUST_00195,29,Female,Semi-Urban,120394,70912,218317,132081,1.2,3,77,67,4,31806,169785,127026,19,decrease
CUST_00196,26,Male,Rural,196602,102633,77606,599175,0.12952142529311136,4,2,88,3,83095,234048,987772,22,stable
CUST_00197,36,Female,Semi-Urban,170338,97235,310284,178579,1.2,7,84,10,3,65565,94928,277391,42,stable
CUST_00198,49,Male,Urban,82336,22949,204183,444164,0.4597018218495871,6,14,90,4,57665,447550,844206,12,stable
CUST_00199,23,Male,Semi-Urban,190063,80440,276131,478521,0.5770509549215186,6,15,46,4,44404,147842,168434,19,stable
CUST_00200,40,Female,Rural,132299,50014,244269,732131,0.3336411106755485,3,97,46,5,14286,466169,120191,37,stable
CUST_00201,56,Male,Semi-Urban,151565,83327,240090,363207,0.6610280088214159,4,25,43,4,59401,451954,777038,42,stable
CUST_00202,39,Female,Semi-Urban,141335,70210,301893,920516,0.32796062208587357,3,30,20,3,89179,50524,402491,26,stable
CUST_00203,46,Male,Semi-Urban,142183,97220,461475,241994,1.2,3,85,26,4,25602,113095,505181,29,stable
CUST_00204,23,Male,Urban,198801,53550,277521,540458,0.513492260268143,5,48,49,2,97775,216750,826621,18,stable
CUST_00205,39,Male,Semi-Urban,292494,127757,131953,978634,0.13483386025827837,5,53,14,0,16830,486323,960029,29,stable
CUST_00206,40,Male,Semi-Urban,197973,108276,393632,570590,0.6898683818503654,6,28,75,4,15657,344679,797773,26,stable
CUST_00207,52,Male,Semi-Urban,279585,107470,296478,518187,0.5721448048677408,7,8,21,2,61635,415478,944914,58,stable
CUST_00208,27,Female,Rural,106556,70497,144592,109949,1.2,5,91,51,2,10696,154389,755621,1,stable
CUST_00209,53,Female,Urban,84271,52777,314110,220098,1.2,4,46,49,3,84883,21709,80594,34,stable
CUST_00210,59,Female,Urban,128790,81970,404081,948391,0.4260700491674847,2,16,58,3,58685,214813,215404,45,stable
CUST_00211,38,Female,Rural,237833,119991,127956,663168,0.19294658367110595,2,31,52,3,70986,350976,176766,39,stable
CUST_00212,21,Male,Urban,80730,35185,398199,990927,0.40184493913275143,7,5,46,0,63514,178169,552195,50,stable
CUST_00213,31,Male,Rural,295479,113450,313212,214489,1.2,5,42,27,5,55490,472705,136919,51,stable
CUST_00214,48,Female,Semi-Urban,179570,46660,471255,897144,0.5252835665177497,1,47,21,1,50020,389908,265789,13,stable
CUST_00215,45,Female,Urban,278741,187904,137811,521733,0.2641408536550304,4,43,23,3,92775,340876,90071,2,stable
CUST_00216,43,Male,Semi-Urban,175888,58361,410267,471545,0.870048457729379,4,19,20,3,36627,346776,977985,32,stable
CUST_00217,51,Female,Semi-Urban,147671,88756,93939,513113,0.18307663224280032,5,67,69,5,64392,358668,503178,52,stable
CUST_00218,50,Male,Urban,295807,60921,128251,959939,0.1336032810418162,5,82,76,0,9839,260139,959055,50,increase
CUST_00219,55,Male,Semi-Urban,96630,37758,107885,242897,0.44415945853592265,5,39,38,5,21870,61323,96740,37,stable
CUST_00220,27,Female,Semi-Urban,284544,138161,178658,69892,1.2,3,86,52,1,81336,146483,856656,1,stable
CUST_00221,36,Male,Rural,240509,85907,117797,851617,0.1383215694379046,4,50,19,1,21021,417199,454047,39,stable
CUST_00222,46,Male,Urban,77437,22994,239111,524449,0.45592803113362784,7,70,8,0,36166,491,731908,0,increase
CUST_00223,22,Female,Semi-Urban,252774,59585,244203,983269,0.24835828242322294,5,55,90,1,65355,289605,800342,29,stable
CUST_00224,21,Female,Rural,40394,28055,355437,552142,0.6437420083963907,6,89,39,4,99527,297081,816501,16,stable
CUST_00225,32,Male,Urban,106068,68223,273109,203371,1.2,3,1,61,5,76046,112234,957526,46,decrease
CUST_00226,25,Female,Semi-Urban,32657,11631,94200,879874,0.10706078370312112,1,42,87,5,73365,16447,849736,9,stable
CUST_00227,57,Male,Semi-Urban,56736,11795,364684,967422,0.3769647578822892,5,40,35,1,91951,627,960672,31,stable
CUST_00228,52,Female,Semi-Urban,186517,87716,458915,149971,1.2,4,42,41,1,13220,226682,157182,59,stable
CUST_00229,29,Male,Semi-Urban,80705,29113,91265,923198,0.09885744986449277,4,45,10,1,24173,207725,681932,51,stable
CUST_00230,55,Male,Semi-Urban,30300,7813,451230,599459,0.7527287103871991,1,4,14,2,28355,96412,564622,49,stable
